index,"M, F or Other",Birth Location,No. of Passports,Languages Spoken,Mother Tongue,Birth Month,Siblings count,Height (cm),Weight (kg),Foot length (cm),"Left, right handed or Ambidextrous",Hand Span (cm),Sleeping hours,Shoe size (EU sizing),Hair colour,Favourite chocolate bar,School travel,School travel time,Preferred destination after RCHK,Favourite TV show,Social media apps,Daily water intake (L),Instagram posts,Do you want to go to university?,% Audio,% of Visual, % of Tactile,Joined RC in..,IQ,Digits Memorised,Favourite Subject,MYP Grade,Reaction time,Favourite Colour,Favourite Sport,Favourite Fastfood restaurant,Exercise time/week (hrs),Hair Cut cost,Country visit count,Most stressed by..,Stress level,What floor level do you live on?,Braces?,Step count yesterday,Step count 6th Jan,Do you play a musical instrument? ,Age of 1st smartphone,Time on Phone yesterday (hrs),30 targets hit time,Step count Sat 1st Feb,Unread email count
1,Male,Hong Kong,2,3,English,May,2,165,50,27,Right handed,21,8,46,Black,Kit Kat,Mini-bus,20,Singapore,Rick and Morty,2,2,0,Yes,25,25,50,Year 1,130,9,Science,46,441,blue,Basketball,KFC,1,Less than $100,4,Homework,2,25,No,0,0,No,0,0,16.314,0,0
2,Male,UK,1,2,English,May,1,177,75.4,26,Right handed,21,8,46,Brown but I dyed the front green ,mars,MTR,30,UK,star vs the force of evil,5,2.5,33,Maybe,10,25,65,Year 4,0,8,Drama,38,303,green,"Frisbee, Cycling, Running, rugby ",Subway,8,$101 - $500,0,School,3,4,Yes,0,0,No,12,2,15.49,0,0
3,Female,Japan ,1,2,Japanese ,April,2,158,49.3,24,Right handed,21,8.5,39,Dark Brown,Kit Kats,MTR,15,UK,Brooklyn Nine Nine ,3,0.5,5,Yes,35,50,15,Year 5,125,11,Art,53,259,blue,Football,Mos Burger,2.5,$101 - $500,7,Homework,1,17,No,31,4948,Yes,12,3.3,22.806,5465,0
4,Female,Hong Kong,1,4,Cantonese,February,1,165.5,55.5,24,Right handed,18.5,7,39,Dark Brown,Mars ,Mini-bus,40,UK,Because This Is My First Life (Korean drama),3,2.5,7,Yes,15,55,30,Year 1,131,7,English,53,390,blue,"Dance, Badminton, Football, Netball",Mos Burger,5,$101 - $500,12,School,2,5,No,133,110,Yes,12,4,16.666,6137,0
5,Female,Hong Kong,2,3,"Cantonese, English",July,1,147.1,106.7,21.4,Right handed,19.2,9,35,Dark Brown,Lindor,MTR,20,Canada,Suits,1,5,8,Yes,15,65,20,Year 1,135,10,English,42,340,blue,Cycling,Shake Shack,1.7,Less than $100,4,School,3,30,Yes,200,700,Yes,11,1,18.336,1000,0
6,Male,Hong Kong,1,3,"Cantonese, English, Mandarin",August,1,165,55.4,25,Left handed,21,8,43,Black,Lindt Excellence Milk Chocolate,MTR,10,"UK, Korea, Australia, Canada, USA, Singapore, Japan, Stay in Hong Kong",Naruto,4,6.5,0,Yes,35,30,35,Year 1,128,11,Maths,52,223,"red, orange, yellow, green, blue, indigo, violet, black, pink","Basketball, Badminton, Swimming",Shake Shack,9,$101 - $500,9,Homework,2,22,Yes,1008,5979,Yes,9,3.4,12.58,922,0
7,Male,Hong Kong,1,3,Cantonese,March,0,164,60.8,25.5,Right handed,19.7,7,41,Light Brown,Toblerone,MTR,50,Stay in Hong Kong,Money Heist ,4,1,0,Yes,25,50,25,Year 7,108,11,I and S,49,237,red,Cycling,KFC,5,Less than $100,7,School,1,2,No,1425,5566,No,7,1,15.08,3407,0
8,Male,Hong Kong,1,3,"Cantonese, English",April,0,172,60,21,Right handed,21.5,7,44,Black,Crunch,MTR,40,"UK, Japan, Stay in Hong Kong",Hell's Kitchen,4,5.5,0,Yes,40,25,35,Year 5,133,9,English,51,295,blue,"Running, Hockey",Paisano's Pizza,6,$101 - $500,15,School,3,10,No,2532,5006,Yes,14,1,15.767,1543,0
9,Female,Philippines,1,4,Tagalog,October,2,155,55,24.1,Right handed,15,8,38,Dark Brown,Snickers,MTR,70,Canada,Friends,10,2,35,Yes,25,30,45,Year 11,133,12,Art,10,669,brown,"Dance, Badminton, Swimming, Volleyball, Football",Shake Shack,4,Less than $100,6,When I don't get anything (doesnt have to be school),1,25,No,2789,10442,Yes,10,6,20,11104,0
10,Female,Hong Kong,1,3,English,April,2,170,65,25.9,Right handed,25.4,6,41,Dark Brown,Twix,Private car,25,UK,Brooklyn 99,3,1.5,77,Yes,30,40,30,Year 5,126,10,English,38,246,indigo,"Cycling, Track, Squash",Jollibee,1,"$101 - $500, $501 - $1000",5,Parents/Family,4,0,No,3000,3300,Yes,9,6.5,15.359,1600,0
